CODE,COUNTRY,MEAN
CAN,Canada,6831.192899
USA,United States of America,12135.11697
GUY,Guyana,369.6047009
HND,Honduras,368.4214674
BOL,Bolivia,367.0812579
NIC,Nicaragua,288.4815292
HTI,Haiti,113.6779425
CHL,Chile,1650.922411
TTO,Trinidad and Tobago,1579.686571
PAN,Panama,1501.671088
BRA,Brazil,1495.158692
VEN,Venezuela,1477.084903
CRI,Costa Rica,1451.139515
BRB,Barbados,1438.609881
ATG,Antigua and Barbuda,1133.450836
CUB,Cuba,1058.24041
MEX,Mexico,992.1630052
ARG,Argentina,939.2322834
ECU,Ecuador,930.7027976
COL,Colombia,880.5811856
GUF,French Guiana,857.6788735
SUR,Suriname,857.6788735
VCT,Saint Vincent and the Grenadines,856.1218859
PRY,Paraguay,809.7857716
PER,Peru,565.2093701
SLV,El Salvador,455.3525852
DOM,Dominican Republic,453.1446609
PRI,Puerto Rico,453.1446609
BLZ,Belize,448.7954888
GTM,Guatemala,425.3839484
JAM,Jamaica,393.3021184
